"Guid","CurrencyIsoCode","SBQQ__Active__c","SBQQ__AssetQuoteLineQuantity__c","SBQQ__AssetQuoteLine__c","SBQQ__Quote__c","SBQQ__SubscriptionBasePrice__c","SBQQ__SubscriptionNetTotal__c","SBQQ__SubscriptionQuoteLine__c"
0562b10b-b1fd-46fb-bc1c-4a68f4e8d328,USD,false,0.0,"#N/A","#N/A",17500.0,0.0,"#N/A"
05744c0b-df4d-431e-b788-983a75680e08,USD,false,0.0,"#N/A","#N/A",25.2,0.0,"#N/A"
0585f0bd-28fb-4319-baee-b286f02a7490,USD,false,0.0,"#N/A","#N/A",17500.0,0.0,"#N/A"
0586d11d-0c1f-41d5-ad50-1c8b60bb2386,USD,false,1.0,"#N/A","#N/A",38.95,8041.28,"#N/A"
058a2fcd-d5db-4c74-a8bd-28026e49978e,USD,false,1.0,"#N/A","#N/A",769.5,6231.77,"#N/A"
059070f3-2c3a-452c-9d6a-cb4e1dd69f31,USD,false,1.0,"#N/A","#N/A",10000.0,3548.46,"#N/A"
0591b2b4-4c0a-4a02-9bf0-bdf4b0a13cd2,USD,false,1.0,"#N/A","#N/A",10000.0,2000.0,"#N/A"
05921bbb-c662-4bd7-8a9d-e087201a98ab,USD,false,1.0,"#N/A","#N/A",17500.0,11000.0,"#N/A"
059a4e70-03e1-4ae2-82f5-626dd5223767,USD,false,1.0,"#N/A","#N/A",41.0,4599.76,"#N/A"
059bb1e4-24d3-4cb3-a006-221c3f8a6005,USD,false,1.0,"#N/A","#N/A",2957.0,8349.3,"#N/A"
05b48a65-5149-49ee-ab43-2e0c36606794,USD,false,1.0,"#N/A","#N/A",17500.0,5500.0,"#N/A"
05bba3fe-e94f-4830-97c0-2d67609211fe,USD,false,0.0,"#N/A","#N/A",2000.0,0.0,"#N/A"
05c6ddc4-e91c-4098-abae-2c81d7c239c9,EUR,false,1.0,"#N/A","#N/A",9500.0,5225.0,"#N/A"
05ceda85-897d-4ec8-9347-562befe3fc49,USD,false,1.0,"#N/A","#N/A",10000.0,-1647.33,"#N/A"
05e502ed-b515-4b9c-a4b0-3489f5b1d553,USD,false,1.0,"#N/A","#N/A",17500.0,7500.0,"#N/A"
05e7b640-5f00-4b79-acc9-1d46c98f6169,USD,false,1.0,"#N/A","#N/A",174.0,2221.88,"#N/A"
05f0e354-60b2-4dae-9d9b-ed1a40198325,USD,false,1.0,"#N/A","#N/A",41.0,6747.5,"#N/A"
